"Now Shopping by",現在買い物をしている人
"This action will delete your custom instructions and reset robots.txt file to system's default settings.",このアクションはカスタムインストラクションを削除しrobot.txtファイルをシステムのデフォルト設定にリセットします
"Reset To Defaults",ディフォルトにリセット
"Skip to Content",コンテンツにスキップ
"2 columns with left bar",2カラム左ナビ付き
"2 columns with right bar",2カラム右ナビ付き
"3 columns",3カラム
"Exception does not contain field '%1'",エクセプションはフィールド'%1'を含みません
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","使用できるファイル形式： ICO, PNG, GIF, JPG, JPEG, APNG, SVG。すべてのブラウザがすべてのフォーマットをサポートしているわけではないことに注意してください！"
"Title Prefix",タイトルプレフィックス
"Title Suffix",タイトルサフィックス
"Default Description",標準の説明
"Default Keywords",初期キーワード
"Miscellaneous Scripts",各種スクリプト
"Search Engine Robots",検索エンジンロボット
"Reset to Defaults",ディフォルトにリセット
"Logo Image Width",ロゴ画像幅
"Logo Image Height",ロゴ画像高さ
"This will be displayed just before body closing tag.",bodyタグの終了直前に出力されます。
"Wrong request.",間違ったリクエスト。
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","使用できるファイル形式： ICO, PNG, GIF, JPG, JPEG, APNG, SVG。すべてのブラウザがすべてのフォーマットをサポートしているわけではないことに注意してください！"
"Allowed file types: png, gif, jpg, jpeg, svg.","使用できるファイル形式: Png, Gif, Jpg, Jpeg, Svg"
"AVS result code",AVSリザルトコード
"CVN result code",CVN結果コード
"Card expiry date",カード有効期限
Decision,決定
"Risk Factor",リスクファクター
"Reference number",参照番号
"Excessive address change. The customer changed the billing address two or more times in the last six months",過度のアドレス変更。過去6か月間に請求先住所が2回以上変更されました
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks",カードBINまたは認証リスク。リスク要因は、クレジットカードのBINおよび/またはカードの承認チェックに関連しています
"High number of account numbers. The customer used more than six credit cards numbers in the last six months",アカウント番号の数が多い。顧客は過去6ヶ月間に6つ以上のクレジットカード番号を使用していた
"Email address impact. The customer uses a free email provider, or the email address is risky",電子メールアドレスの影響。顧客が無料の電子メールプロバイダを使用している、または電子メールアドレスが危険です。
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","ポジティブリスト。 顧客はあなたのポジティブリストに入っています。 Decision Manager開発者ガイドSimple Order APの使用1月201 10付録情報と返信コード"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list",ネガティブリスト。この注文のアカウント番号、住所、Eメールアドレス、またはIPアドレスがネガティブリストに表示されます
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious",ジオロケーションの不一致。顧客の電子メールドメイン、電話番号、請求先住所、配送先住所、またはIPアドレスが疑わしいです
"Excessive name changes. The customer changed the name two or more times in the last six months",過度の名前変更。顧客は過去6ヶ月間に2回以上名前を変更しました
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","インターネットの不一致。 IPアドレスと電子メールドメインが請求先住所と一致しません"
"Nonsensical input. The customer name and address fields contain meaningless words or language",無意味な入力。顧客名と住所フィールドに無意味な言葉や言葉が含まれています
"Obscenities. The customer’s input contains obscene words",猥褻。顧客の入力にはわいせつな言葉が含まれています
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number",アイデンティティモーフィング。識別要素の複数の値は、異なる識別要素の値にリンクされています。たとえば、複数の電話番号が単一の口座番号にリンクされています
